Date,Close,High,Low,Open,Volume,Daily Return,7-Day MA,52-Week High,52-Week Low
2024-03-12,3931.536865234375,3966.8925114142617,3864.764560938834,3865.983989585085,4039801,0.016956323623141898,3841.627755301339,3966.8925114142617,2823.6168077969783
2024-03-13,3890.9765625,3977.255146194866,3874.9399080779876,3943.493961270788,2837260,-0.013317479191438747,3848.949393136161,3977.255146194866,2823.6168077969783
2024-03-14,3945.932373046875,3962.2501875616867,3831.8945009176455,3895.1500154804917,2919608,0.013037330363287433,3865.9505789620534,3977.255146194866,2823.6168077969783
2024-03-15,3956.85791015625,3975.3796720157243,3917.2354069378816,3931.8653458631275,3373143,0.006356414092211529,3893.7030203683034,3977.255146194866,2823.6168077969783
2024-03-18,3894.25830078125,3990.1494293194514,3861.7632568743484,3953.105912671442,1526904,-0.014886424292746551,3905.519356863839,3990.1494293194514,2823.6168077969783
2024-03-19,3729.95458984375,3805.6358684946754,3719.9200610190014,3799.3056461900082,8931209,-0.018253613371644464,3887.9287109375,3990.1494293194514,2823.6168077969783
2024-03-20,3723.95263671875,3768.1236148774233,3713.9181074283624,3738.11367070717,1817913,-0.0037882834059835046,3867.6384626116073,3990.1494293194514,2823.6168077969783
2024-03-21,3725.875,3759.120343748554,3702.476668668117,3741.9116546616547,3829582,-0.004285685003192494,3838.2581961495534,3990.1494293194514,2823.6168077969783
2024-03-22,3667.683837890625,3693.098599879169,3615.260310445454,3654.6483605203457,5852485,0.0035668212326789533,3806.3592354910716,3990.1494293194514,2823.6168077969783
2024-03-26,3636.361083984375,3701.257540323518,3630.6872833100233,3634.0165571732955,3440925,0.0006451612903225693,3762.134765625,3990.1494293194514,2823.6168077969783
2024-03-27,3602.037109375,3652.772761001774,3591.252286075508,3646.6769913107573,1968575,-0.012241249236530824,3711.4460797991073,3990.1494293194514,2823.6168077969783
2024-03-28,3635.235595703125,3671.5288233376846,3601.661927465741,3610.6650016041267,4311783,0.006805005196572434,3674.4428362165177,3990.1494293194514,2823.6168077969783
2024-04-01,3673.17041015625,3688.691224515632,3646.255286286342,3655.3050688228736,1569676,0.004887510343734342,3666.330810546875,3990.1494293194514,2823.6168077969783
2024-04-02,3642.269287109375,3666.6993019354495,3632.140885633653,3648.0836677291272,2142666,-0.0015938177819730722,3654.6617606026784,3990.1494293194514,2823.6168077969783
2024-04-03,3701.820068359375,3733.4242418469757,3611.5088559037185,3611.5088559037185,3973090,0.025006504499642885,3651.225341796875,3990.1494293194514,2823.6168077969783
2024-04-04,3754.337890625,3778.111256202073,3690.5198221169708,3728.6417382256623,3394637,0.006891558428878631,3663.6044921875,3990.1494293194514,2823.6168077969783
2024-04-05,3731.783203125,3753.1183964079287,3714.199252617092,3730.610939757806,1636819,0.00031422825540472146,3677.2362234933034,3990.1494293194514,2823.6168077969783
2024-04-08,3725.5,3781.8622865716975,3713.7304297404708,3735.3000761758317,2302538,-0.0026236382555548054,3694.873779296875,3990.1494293194514,2823.6168077969783
2024-04-09,3701.116943359375,3766.1072720566044,3680.954012876369,3736.2379090370728,1876992,-0.009400088145551034,3704.285400390625,3990.1494293194514,2823.6168077969783
2024-04-10,3736.84716796875,3742.0520629416483,3674.342178842318,3710.3540167302876,2101965,0.007140329768804429,3713.382080078125,3990.1494293194514,2823.6168077969783
